Keywords,Text,Target 1,Stance 1,Domain,In Use
加强针,【不打针的新冠疫苗！ 新冠病毒疫苗加强针再添新成员——吸入用重组新冠病毒疫苗（5型腺病毒载体）。吸入用重组新冠病毒疫苗（5型腺病毒载体），利用对人体无害的腺病毒载体，将表达S蛋白的遗传物质递送进人体，利用雾化器将疫苗雾化成微小的颗粒，通过吸入的方式经口腔呼吸到达肺组织，激发黏膜、体液、细胞三重免疫。这种疫苗安全性和有效性如何？哪些人群能够接种？武汉市疾控中心传染病专家为您详细解答！,新冠疫苗,支持,新冠疫情,1
加强针,【不打针的新冠疫苗！ 新冠病毒疫苗加强针再添新成员——吸入用重组新冠病毒疫苗（5型腺病毒载体）。吸入用重组新冠病毒疫苗（5型腺病毒载体），利用对人体无害的腺病毒载体，将表达S蛋白的遗传物质递送进人体，利用雾化器将疫苗雾化成微小的颗粒，通过吸入的方式经口腔呼吸到达肺组织，激发黏膜、体液、细胞三重免疫。这种疫苗安全性和有效性如何？哪些人群能够接种？武汉市疾控中心传染病专家为您详细解答！,吸入用重组新冠病毒疫苗（5型腺病毒载体,支持,新冠疫情,1
加强针,【新冠疫苗价格上涨提振销售额，辉瑞上调收入预期】辉瑞 Pfizer 周二将其新冠疫苗的销售预期上调20亿美元，至340亿美元，原因是价格上涨抵消了美国以外需求放缓的影响。这家美国制药商表示，针对奥密克戎变种的主导毒株的二价加强针和其他一些药物的强劲销售，帮助该公司抵消了美元走强带来的损失。,二价加强针,支持,新冠疫情,1
加强针,【10月新加坡留学资讯】新加坡批准辉瑞新款二价疫苗 10月25日，新加坡卫生科学局通报，临时批准辉瑞新款二价新冠疫苗作为加强针使用，预计年底之前到货并开打。,辉瑞新款二价新冠疫苗,支持,新冠疫情,1
加强针,经过医生的治疗症状好多了，晚上能够睡的着觉了，但是还会隐隐作痛，也醒的很早，下午还要去体验一次医生的梅花针。 希望我的家人们朋友们提高免疫力，加强锻炼，不要得带状疱疹。,梅花针,支持,新冠疫情,1
疫苗,猫被楼下的流浪猫爪子勾了一下破皮了有一个针尖大小的血点，事后用洗手液洗过碘伏消毒了，想问问友友们有必要打狂犬疫苗吗,流浪猫抓猫,反对,新冠疫情,1
疫苗,昨天打完疫苗，今天绝食 躲床底 不让人靠近。半夜我跪在床边，连哄带骗恳求她。小白已经不是单纯的小白，是钮钴禄白。,绝食,反对,新冠疫情,1
疫苗,新冠病毒感染是自限性疾病，新冠疫苗全覆盖，目前新冠重症发生率极低，甚至低于流感的重症率。为什么仍然要将二类传染病按一类管理？这是否有烂用《传染病防治法》之嫌！有些地方动不动就封区封楼，这是防疫技术上的需要，还是烂用了的政治上不作为？,新冠病毒感染,反对,新冠疫情,1
疫苗,北大谢晓亮团队《自然》发文：奥密克戎BA.1疫苗已被逃逸 详情 O北大谢晓亮团队《自然》发文：奥密克戎BA.1疫苗已被逃逸,逃逸,反对,新冠疫情,1
疫苗,给狗狗 打疫苗，被说像林心如， 前些天朋友说像韩素希、闺蜜说像宋慧乔，同事又说像泰星Vill，好的，我懂了。原来我是个大众脸,大众脸,反对,新冠疫情,1
疫苗,【这个人类斗争了60多年的病毒，终于在进博会上传来好消息！】坐进新一代智慧无人疫苗接种舱，一剂疫苗只需要35秒就可以完成接种；一个人类与之斗争了60多年的病毒，如今终于迎来首个可广泛用于婴儿的预防手段！这些，都是进博会上传来的好消息！ （汪俐辰） O这个人类斗争了60多年的病毒，终于在进博会上传来好消息！,病毒,反对,新冠疫情,1
疫苗,救命啊 我是伤口刺客 昨天和舍友去拿外卖的时候 她说冷想要有个人抱住她 我即使在打游戏 也狠狠地抱住了她 正当我们很温馨的时候 她尖叫一声 哦原来是我拍到她刚打完疫苗的伤口了… 刚下我过去问她在干嘛 拍了下她的肩膀…再次… 我俩都笑抽了 我跟她说我现在就去洗澡 洗净我的罪孽,罪孽,反对,新冠疫情,1
疫苗,因为疫情，四十多天没有回家，这个周未回来了，周六吃羊肉，周天吃鸡，吴忠发现两例，赶紧连夜上班去了！昨天看娃娃小时候的录像和视频笑死了，可爱的呀！我比老汉轻了，哈哈，我64.5他65.5。老汉说你真厉害 ，昨天走的时候抱抱对我说谢谢，今天约的打疫苗也不能打上不？,疫情,反对,新冠疫情,1
口罩,公开治疗和自检措施有那么困难吗 每天做核酸belike每天验孕 楼下总是有人戴口罩有人不戴口罩 要求我们配合却不从根源解决问题 这日子已经过了3年了 还是这样一眼望不头,做核酸,反对,新冠疫情,1
口罩,奥密克戎变异毒株是大家共同的敌人，作为个人我已经做好了和病毒斗争的一切必要准备——每天三次消毒、科学配戴口罩、堵塞地漏都是我的斗争方法，只要疫情存在一天，我就会将这些科学的斗争方法贯彻到底！,奥密克戎变异毒株,反对,新冠疫情,1
口罩,今天和朋友唱K到十二点，走出包间门的时候，我随口说了一句 又不是去白马会所，怎么感觉身体被掏空后来在电梯里，一个朋友说，当时旁边的两个工作人员，尽管戴着口罩，也明显看出楞了一下……我在口出什么狂言，嘴上没个把门的今天果然是社死的一天呢,白马会所,反对,新冠疫情,1
口罩,最近，不少同事得流感，似乎比往年都严重，要去医院打点滴才好转。也许疫情三年戴口罩，人们的免疫力下降所致吧。,免疫力下降,反对,新冠疫情,1
口罩,之前有段时间需要天天戴口罩上课 就很难受嗷 不只是呼吸难受 脸上的皮肤也难受 然后长了好多闭口真的是又不好看又丑 然后我是用COR的刷酸来处理闭口嗷 也算是比较有效的一种方式 第二天基本闭口就好啦 有时候也会用面膜来,戴口罩上课,反对,新冠疫情,1
口罩,每天在家都要躺废了 一个月就化了一次妆以前从来没想过我可以这样 春天来了开始变暖了真好 希望疫情可以早点结束真不想每天暖洋洋的还要戴口罩出门,疫情,反对,新冠疫情,1
口罩,这么好的天气，公园小树林里有一群做亲子游戏的欢声笑语的快乐人，树林对面核酸小房子边上几个不戴口罩打牌的北京大爷，小房子忙着做核酸，队伍排出去一百多米，充满讽刺的一个画面,核酸队伍,反对,新冠疫情,1
口罩,不知道是因为打磨塑料、升温还是熬夜，我最近又是犯鼻炎又是消化不好鼻炎的感觉已经很难受，我可不想再加上一个足以发烧的重感冒，更不必说新冠了。我已经有一年多的时间没在学校里戴口罩了，但是我不介意重新戴起来。 2广州·华南理工大学 大学城校区,熬夜,反对,新冠疫情,1
防控,昨天防疫办的电话一天都没打通一个，无奈只能深更半夜尝试一下。咨询得知，无论哪个区，只要你所在的大市有确诊，一律隔离处理，低风险和无风险是一样的管控政策，还不接“一刀切”的帽子 。 牛啊牛啊,管控政策,反对,新冠疫情,1
防控,昨天防疫办的电话一天都没打通一个，无奈只能深更半夜尝试一下。咨询得知，无论哪个区，只要你所在的大市有确诊，一律隔离处理，低风险和无风险是一样的管控政策，还不接“一刀切”的帽子 。 牛啊牛啊,一刀切,反对,新冠疫情,1
防控,【生活中这些防疫要点别疏忽】疫情防控很重要，然而生活中很多不起眼的细节，很容易成为防疫盲点。环境中大多数飞沫病毒都会落在地面上，注意鞋底清洁很重要。公厕是人员流动较大的场所，使用公厕全程佩戴口罩...还有哪些要注意的呢？快来戳图自查吧 2淄博,防疫盲点,反对,新冠疫情,1
防控,『警情通报：庆阳一出租户拒不配合落实集中隔离医学观察管控措施、数次隐瞒租住人数，致数10人长时间未落实管控被处罚』O警情通报：庆阳一出租户拒不配合落实集中隔离医学观察管控措施、数次隐瞒租住人数，致数10人长时间未落实管控被处罚,隐瞒租住人数,反对,新冠疫情,1
防控,【 】10月31日，记者从今天召开的呼和浩特新冠肺炎疫情防控新闻发布会上了解到，呼和浩特市疫情形势较为严峻，驻呼高校出现聚集感染，防控难度很大。10月28日至29日，自治区新冠肺炎疫情防控工作指挥部统一组织一批高校学生分流返乡、隔离转运。目前，所有学生已平安到达。（奔腾融媒） 2呼和浩特,呼和浩特市疫情,反对,新冠疫情,1
防控,真被封了，喜提七天小长假今晚外面热闹得像长沙市中心十一点长江委大门车排着队进，估计都是跟我一样搬主机的逃过素拓，逃不过疫情，依然没有实验做（其实今天纠结了好久要不要逃沌口去，最终因为不知道住哪也没落实） 先补觉吧，其余的明天说,逃不过疫情,反对,新冠疫情,1
防控,呼和浩特能不能通快递能不能通快递，我的猫要饿死了，什么破防控，这么长时间了还特么没变化，与其这样还不如放开得了,疫情防控,反对,新冠疫情,1
中国防疫,这就是中国的防疫，封控隔离禁止出行，害人心力交瘁英年早逝，在异地的亲人甚至无法去见最后一面，这一切到了自己的身上，才终于有了疼痛的实感和无尽的恨意,封控隔离,反对,新冠疫情,1
中国防疫,这就是中国的防疫，封控隔离禁止出行，害人心力交瘁英年早逝，在异地的亲人甚至无法去见最后一面，这一切到了自己的身上，才终于有了疼痛的实感和无尽的恨意,无尽的恨意,反对,新冠疫情,1
中国防疫,高速公路梅村服务区，里面厕所不开不让上，外面弄了3个流动公厕，臭气熏天，女的排队都要排个20分钟，男的都直接去后面墙根拉屎尿尿，多少年没见过墙根上几十个男人尿尿的场面了，感谢无锡的领导，你们借防疫之口，让老百姓如此感受中国特色。,流动公厕,反对,新冠疫情,1
中国防疫,高速公路梅村服务区，里面厕所不开不让上，外面弄了3个流动公厕，臭气熏天，女的排队都要排个20分钟，男的都直接去后面墙根拉屎尿尿，多少年没见过墙根上几十个男人尿尿的场面了，感谢无锡的领导，你们借防疫之口，让老百姓如此感受中国特色。,中国特色,反对,新冠疫情,1
中国防疫,个人感觉现在应该分年龄段以及基础病，来统计和公布感染新冠的重症率以及死亡率。通过这个数据降低到一定程度来研判什么时候放开！并且这个数据以及研判应该公开！ 只有中国防疫，国外接连放开，除非闭关锁国！不让一只苍蝇飞进来，否则就算这次疫情控制住了，后面也会防不胜防！进口的物品可能携带病毒，回国的人可能携带病毒，就连来回的候鸟会不会携带病毒都不可知！,闭关锁国,反对,新冠疫情,1
中国防疫,真不是我崇洋媚外人家国外开演唱会的开演唱会，过校庆的过校庆，而我明明没有疫情还每天核酸，学校也不开学在家上网课中国什么时候能想想自己防疫政策到底合不合适啊？,核酸,反对,新冠疫情,1
中国防疫,真不是我崇洋媚外人家国外开演唱会的开演唱会，过校庆的过校庆，而我明明没有疫情还每天核酸，学校也不开学在家上网课中国什么时候能想想自己防疫政策到底合不合适啊？,防疫政策,反对,新冠疫情,1
中国防疫,其实我想问 既然新冠要和人类长期共存，中国也不能闭关锁国推全民免疫，做疫苗接种怎么不得比天天封控封控封控重要嘛躲能躲得过去新冠嘛再封锁，经济咋办呀今天又要学校停课、企业停工 唉,封控,反对,新冠疫情,1
中国防疫,现在才真的感觉到全中国防疫抗疫是多么的有必要，全中国大大小小的医院这三年来为抗疫做出了多么大的努力。真的是在泡蜜罐里尝不到苦,泡蜜罐里,反对,新冠疫情,1
中国防疫,今年3月15号发布的，核酸检测标准第九版，对中国防疫政策的重大调整，核酸检测标准降低，目前来看，这是一个重大的失误，造成了今天的被动局面，造成了新冠疫情大面积传播，新冠疫情重新抬头。,核酸检测标准第九版,反对,新冠疫情,1
中国防疫,今年3月15号发布的，核酸检测标准第九版，对中国防疫政策的重大调整，核酸检测标准降低，目前来看，这是一个重大的失误，造成了今天的被动局面，造成了新冠疫情大面积传播，新冠疫情重新抬头。,核酸检测标准降低,反对,新冠疫情,1
中国防疫,【 这些防疫小细节忽略不得】生活中很多不起眼的小细节很容易成为防疫的盲点，防疫细节小贴士已送达，戳图 （中国消防）,防疫的盲点,反对,新冠疫情,1
中国防疫,中国抗疫情严格，让大家都大意轻视了！我学医的英国同学全家人打过三次疫苗没有用，轮流三轮得新冠，非常严重，每次都在死亡线上挣扎4天才退烧，救护车 根本不管也不回来，自生自灭！非常不理解国内的某些人为什么排斥防疫政策，应该庆幸是在中国，国外同学都羡慕国内花大力防疫，应该感恩政府才对！,排斥防疫政策,反对,新冠疫情,1
加强针,呼吁国家改变防疫政策！是时候站出来呼吁了！不能再沉默了 ， 加大第三针异源疫苗加强针 ，准备全面放开 ！ 不能再等了,防疫政策,反对,新冠疫情,1
加强针,在社区医院打完疫苗出来坐在留观区，旁边有个小孩被吓哭了，她爸爸抱着她一直哄，看到她哭，我也想哭了——加强针真tmd疼啊,小孩吓哭,反对,新冠疫情,1
加强针,在社区医院打完疫苗出来坐在留观区，旁边有个小孩被吓哭了，她爸爸抱着她一直哄，看到她哭，我也想哭了——加强针真tmd疼啊,加强针,反对,新冠疫情,1
加强针,rng咱就是说，能不能同样的五个人，再冲一次，这一次不要有新冠，打好加强针；也让陈晨更多去单带，也去再练一些体系；究竟能不能呢,新冠,反对,新冠疫情,1
